etailer,brand,Breakfast & Cereal Bars,Breakfast Foods,Breakfast Syrups & Toppings,Butter & Margarine,Candy & Chocolate,"Canned, Jarred & Packaged Food",Cereals,Cheese,Chips & Crisps,Coffee,Condiments & Salad Dressings,Cookies,Cooking & Baking,Crackers,Granola & Nutrition Bars,Ice Cream,Jams & Peanut Butter,Meals & Entrees,Milk & Cream,Milk Substitutes,"Pancake, Waffle, & Baking Mixes",Pasta & Noodles,Pizza,Pretzels,Puddings & Gelatins,"Salsas, Dips, & Spreads",Yogurt
Amazon Prime Now,Butterfinger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Fiber One,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Frito-Lay,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Special K,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Yoplait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Amazon Prime Now,Froot Loops,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Ghirardelli,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Hershey's,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Kashi,3,6,0,0,0,0,3,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Kraft Dressing,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Maxwell House,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Pillsbury,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Cheerios,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Del Monte,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amazon Prime Now,Kind,4,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0
Amazon Prime Now,Kraft Singles,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Pebbles,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Twizzlers,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Betty Crocker,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Amazon Prime Now,Cap'n Crunch,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Fritos,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Amazon Prime Now,Kraft Natural Cheese,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Lays,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Amazon Prime Now,Nutella,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Cheetos,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Folgers,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amazon Prime Now,Goldfish,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0
Amazon Prime Now,Hidden Valley,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0
Amazon Prime Now,Honey Bunches Of Oats,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Lean Cuisine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0
Amazon Prime Now,Talenti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0
Amazon Prime Now,Annie's,1,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,2,2,2,0,0,0
Amazon Prime Now,Aunt Jemima,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Amazon Prime Now,Clif Bar,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Coffee-mate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0
Amazon Prime Now,Doritos,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Pepperidge Farm,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Ritz Crackers,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Ruffles,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Outshine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Chips Ahoy!,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Land O'Lakes,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Sour Patch Kids,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Ben & Jerry's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Tostitos,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Amazon Prime Now,Eggo,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Nutri-Grain,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Cheez-It,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Quaker Oats,10,0,0,0,0,0,17,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Fage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Amazon Prime Now,Nature Valley,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,DiGiorno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Amazon Prime Now,Smucker's,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Horizon Organic,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Amazon Prime Now,Oreo,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Heinz,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Silk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Amazon Prime Now,Starbucks,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amazon Prime Now,Jif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
Amazon Prime Now,Haagen-Dazs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Planters,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Chobani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Amazon Prime Now,Amazon Private Label,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Now,Amy's Kitchen,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,30,0,0,1,0
