brand,vertical,explore_vertical,class,score_x,score_y,case_study,report
StriVectin,Beauty,Beauty,Other,4.309392265,1.612903226,,Loyalty
Tarte,Beauty,Beauty,Laggard,1.546961326,2.419354839,,Loyalty
The Body Shop,Beauty,Beauty,Laggard,0.662983425,1.774193548,,Loyalty
Urban Decay,Beauty,Beauty,Leader,6.519337017,4.516129032,,Loyalty
Viktor & Rolf Fragrances,Beauty,Beauty,Laggard,1.767955801,1.290322581,,Loyalty
bareMinerals,Beauty,Beauty,Laggard,4,3.321169643,,Mobile
Benefit Cosmetics,Beauty,Beauty,Laggard,3.3669,4.394079606,,Mobile
ColourPop,Beauty,Beauty,Laggard,4.48545,2.298418926,,Mobile
Estee Lauder,Beauty,Beauty,Other,5.6298,4.750623235,,Mobile
Glossier,Beauty,Beauty,Other,6.4266,3.673002976,,Mobile
Kiehl's,Beauty,Beauty,Other,6.41935,4.177183201,,Mobile
L'Oreal Paris,Beauty,Beauty,Laggard,3.2161,4.576422619,,Mobile
M.A.C Cosmetics,Beauty,Beauty,Laggard,4.104,4.572110324,,Mobile
Maybelline,Beauty,Beauty,Laggard,2.58614059,4.454574405,,Mobile
Rodan + Fields,Beauty,Beauty,Laggard,1.9032,2.634833333,,Mobile
Too Faced Cosmetics,Beauty,Beauty,Other,5.6435,4.304178571,,Mobile
Urban Decay,Beauty,Beauty,Other,5.79835,3.9452108,,Mobile
Aussie,Beauty,Hair Care & Color,Laggard,2.2774,2.931327007,,Mobile
Aveda,Beauty,Hair Care & Color,Other,6.0002325,4.07334622,TRUE,Mobile
Bumble and bumble,Beauty,Hair Care & Color,Laggard,4.52255,3.929691495,,Mobile
DevaCurl,Beauty,Hair Care & Color,Laggard,3.4298,2.110783243,,Mobile
Garnier,Beauty,Hair Care & Color,Laggard,3.21205,3.455238095,,Mobile
Madison Reed,Beauty,Hair Care & Color,Laggard,3.502948728,2.808800595,,Mobile
Bergdorf Goodman,Retail,Department Stores,Other,3.86001386,2.598571429,,Data & Targeting
Best Buy,Retail,Big Box,Laggard,3.494208494,5.208095238,,Data & Targeting
Bloomingdale's,Retail,Department Stores,Leader,4.665379665,7.73047619,TRUE,Data & Targeting
Bobbi Brown,Beauty,Beauty,Other,4.704979705,4.472380952,,Data & Targeting
Burberry,Fashion,Fashion,Other,2.585387585,7.205238095,,Data & Targeting
Calvin Klein,Fashion,Fashion,Laggard,2.900702901,3.794761905,,Data & Targeting
Chanel,Fashion,Fashion,Laggard,2.58984259,6.065238095,,Data & Targeting
Charlotte Tilbury,Beauty,Beauty,Laggard,3.155628156,5.937619048,,Data & Targeting
Clinique,Beauty,Beauty,Laggard,3.559053559,5.530952381,,Data & Targeting
Coach,Fashion,Fashion,Laggard,2.66013266,5.750952381,,Data & Targeting
CoverGirl,Beauty,Beauty,Laggard,0.425205425,3.63952381,,Data & Targeting
Crate & Barrel,Specialty Retail,Specialty Retail,Other,3.034848035,6.710952381,,Data & Targeting
Crate & Barrel,Specialty Retail,Specialty Retail,Other,3.034848035,6.710952381,,Data & Targeting
CVS,Retail,Big Box,Other,3.98970399,6.361428571,,Data & Targeting
Desigual,Specialty Retail,Specialty Retail,Other,3.86001386,1.719047619,,Data & Targeting
Diane von Furstenberg,Fashion,Fashion,Laggard,2.784377784,4.904285714,,Data & Targeting
Dior,Fashion,Fashion,Laggard,0.935055935,5.054761905,,Data & Targeting
Estee Lauder,Beauty,Beauty,Leader,4.2995743,7.510952381,,Data & Targeting
Express,Specialty Retail,Specialty Retail,Laggard,3.555588556,5.647619048,,Data & Targeting
Fairmont Other,Other,Hotels,Laggard,2.306207306,3.161428571,,Data & Targeting
Petco,Retail,Big Box,Laggard,3.4,3.33,,Omnichannel
PetSmart,Retail,Big Box,Leader,5.27,5.71,,Omnichannel
Staples,Retail,Big Box,Leader,6.84,5.48,,Omnichannel
Target,Retail,Big Box,Leader,6.88,5.95,,Omnichannel
Walgreens,Retail,Big Box,Leader,5.92,5.48,,Omnichannel
Bed Bath & Beyond,Retail,Big Box,Other,5.02,3.57,,Omnichannel
Best Buy,Retail,Big Box,Other,6.82,4.29,,Omnichannel
CVS,Retail,Big Box,Other,5.43,2.62,,Omnichannel
Home Depot,Retail,Big Box,Other,6.12,4.05,,Omnichannel
Lowe's,Retail,Big Box,Other,5.54,2.14,TRUE,Omnichannel
Office Depot,Retail,Big Box,Other,6.22,2.86,,Omnichannel
Walmart,Retail,Big Box,Other,6.82,4.29,TRUE,Omnichannel
Rite Aid,Retail,Big Box,Other,2.64,5,,Omnichannel
Bloomingdale's,Retail,Department Stores,Other,5.2,3.33,TRUE,Omnichannel
JCPenney,Retail,Department Stores,Other,6.38,3.33,,Omnichannel
Macy's,Retail,Department Stores,Other,6.4,3.81,TRUE,Omnichannel
Calvin Klein,Fashion,Fashion,Laggard,38.88888889,43.33333333,,Localization
Coach,Fashion,Fashion,Laggard,38.88888889,28.33333333,,Localization
Diane Von Furstenberg,Fashion,Fashion,Laggard,25.55555556,46.88888889,,Localization
Hugo Boss,Fashion,Fashion,Laggard,32.22222222,34.44444444,,Localization
Michael Kors,Fashion,Fashion,Laggard,41.11111111,38.25396825,,Localization
Tory Burch,Fashion,Fashion,Laggard,40,44.44444444,,Localization
Burberry,Fashion,Fashion,Other,58.88888889,50,,Localization
Chanel,Fashion,Fashion,Laggard,30,13.33333333,,Localization
Gucci,Fashion,Fashion,Laggard,43.33333333,48.88888889,,Localization
Jimmy Choo,Fashion,Fashion,Other,31.11111111,50.44444444,,Localization
Louis Vuitton,Fashion,Fashion,Laggard,50,38.88888889,,Localization
Prada,Fashion,Fashion,Laggard,32.22222222,38.41269841,,Localization
Yoox,Fashion,Fashion,Other,35.55555556,54.77777778,,Localization
Cartier,Fashion,Watches & Jewelry,Laggard,41.11111111,39.84126984,,Localization
Citizen,Fashion,Watches & Jewelry,Laggard,24.44444444,13.33333333,,Localization
Fossil,Fashion,Watches & Jewelry,Laggard,44.44444444,44.07407407,,Localization
Omega,Fashion,Watches & Jewelry,Laggard,27.77777778,4.444444444,,Localization
Pandora,Fashion,Watches & Jewelry,Laggard,44.44444444,42.63888889,,Localization
Rolex,Fashion,Watches & Jewelry,Laggard,22.22222222,0,,Localization
Seiko,Fashion,Watches & Jewelry,Laggard,25.55555556,2.222222222,,Localization
Swarovski,Fashion,Watches & Jewelry,Other,47.77777778,50.55555556,,Localization
Swatch,Fashion,Watches & Jewelry,Laggard,41.11111111,40,,Localization
Tiffany & Co,Fashion,Watches & Jewelry,Laggard,42.22222222,31.11111111,,Localization
Timex,Fashion,Watches & Jewelry,Laggard,22.22222222,24.88888889,,Localization
Alexander McQueen,Fashion,Fashion,Laggard,1.756756757,2.131147541,,Content & Commerce
Balenciaga,Fashion,Fashion,Laggard,1.148648649,1.147540984,,Content & Commerce
Calvin Klein,Fashion,Fashion,Laggard,1.351351351,2.076502732,,Content & Commerce
Chanel,Fashion,Fashion,Laggard,1.148648649,0.054644809,,Content & Commerce
Fendi,Fashion,Fashion,Laggard,1.554054054,1.202185792,,Content & Commerce
Gucci,Fashion,Fashion,Laggard,0.945945946,0.546448087,,Content & Commerce
Hugo Boss,Fashion,Fashion,Laggard,2.432432432,2.513661202,,Content & Commerce
Kate Spade,Fashion,Fashion,Laggard,2.22972973,2.732240437,,Content & Commerce
Louis Vuitton,Fashion,Fashion,Laggard,2.027027027,2.076502732,,Content & Commerce
Marc Jacobs,Fashion,Fashion,Laggard,1.824324324,1.639344262,,Content & Commerce
Michael Kors,Fashion,Fashion,Laggard,1.486486486,2.786885246,TRUE,Content & Commerce
Valentino,Fashion,Fashion,Laggard,1.013513514,1.530054645,,Content & Commerce
Bottega Veneta,Fashion,Fashion,Laggard,3.6056,3.947794409,,Mobile
Burberry,Fashion,Fashion,Laggard,4.533394688,4.407529926,,Mobile
Chanel,Fashion,Fashion,Laggard,3.80645,4.200284954,,Mobile
Coach,Fashion,Fashion,Laggard,4.225,2.719458177,,Mobile
Gucci,Fashion,Fashion,Other,4.28145,6.215408783,,Mobile
Louis Vuitton,Fashion,Fashion,Laggard,3.9177,4.692928571,,Mobile
MCM,Fashion,Fashion,Laggard,4.3637,3.749497169,,Mobile
Michael Kors,Fashion,Fashion,Leader,6.1879,5.985045188,,Mobile
Prada,Fashion,Fashion,Laggard,4.4653,2.971104095,,Mobile
Rag & Bone,Fashion,Fashion,Laggard,3.98145,4.310644858,,Mobile
Salvatore Ferragamo,Fashion,Fashion,Laggard,3.6427,3.975641184,,Mobile
Tory Burch,Fashion,Fashion,Other,5.734450753,4.301673732,,Mobile
Forever 21,Specialty Retail,Specialty Retail,Laggard,3.544698545,4.997619048,,Data & Targeting
Gap,Specialty Retail,Specialty Retail,Other,3.33036333,7.537142857,,Data & Targeting
Garnier,Beauty,Beauty,Laggard,3.365508366,4.964285714,,Data & Targeting
Gucci,Fashion,Fashion,Other,3.955548956,5.561428571,,Data & Targeting
Guess,Specialty Retail,Specialty Retail,Laggard,3.411543412,2.567619048,,Data & Targeting
H&M,Specialty Retail,Specialty Retail,Other,4.51044451,4.375714286,,Data & Targeting
Hilton Other & Resorts,Other,Hotels,Laggard,2.615087615,4.784285714,,Data & Targeting
Home Depot,Retail,Big Box,Laggard,3.643698644,6.517619048,,Data & Targeting
Hugo Boss,Fashion,Fashion,Other,2.434907435,9.39,,Data & Targeting
Hyatt Other,Other,Hotels,Laggard,2.95020295,4.598095238,,Data & Targeting
Ikea,Retail,Big Box,Laggard,2.970992971,5.89952381,,Data & Targeting
Intercontinental Other & Resorts,Other,Hotels,Other,4.22037422,5.318095238,,Data & Targeting
J.Crew,Specialty Retail,Specialty Retail,Laggard,3.029403029,3.890952381,,Data & Targeting
Kate Spade,Fashion,Fashion,Laggard,2.584397584,5.86047619,,Data & Targeting
Kiehl's,Beauty,Beauty,Other,4.31046431,5.303333333,,Data & Targeting
Kohl's,Retail,Big Box,Leader,4.014949015,7.25,,Data & Targeting
Apple,Other,Other,Leader,74.44444444,52.77777778,TRUE,Localization
ASOS,Other,Other,Laggard,31.11111111,48.14814815,,Localization
Farfetch,Other,Other,Laggard,34.44444444,48.88888889,,Localization
Samsonite,Other,Other,Laggard,46.66666667,47.03703704,,Localization
Apple,Other,Consumer Electronics,Laggard,0.810810811,0.327868852,,Content & Commerce
Beats Electronics,Other,Consumer Electronics,Laggard,0.945945946,1.092896175,,Content & Commerce
Bose,Other,Consumer Electronics,Laggard,0.675675676,1.420765027,,Content & Commerce
GoPro,Other,Consumer Electronics,Laggard,1.216216216,0.983606557,,Content & Commerce
HP,Other,Consumer Electronics,Laggard,1.351351351,1.202185792,,Content & Commerce
LG,Other,Consumer Electronics,Laggard,1.081081081,0.43715847,,Content & Commerce
Samsung,Other,Consumer Electronics,Laggard,1.621621622,1.202185792,,Content & Commerce
Sonos,Other,Consumer Electronics,Laggard,1.148648649,0.382513661,,Content & Commerce
Ben & Jerry's,Other,CPG,Laggard,1.689189189,1.967213115,,Content & Commerce
Betty Crocker,Other,CPG,Laggard,1.418918919,0,,Content & Commerce
Charmin,Other,CPG,Laggard,1.283783784,0.87431694,,Content & Commerce
Chobani,Other,CPG,Laggard,1.418918919,0.43715847,,Content & Commerce
Coca-Cola,Other,CPG,Laggard,1.283783784,0.218579235,,Content & Commerce
Colgate,Other,CPG,Laggard,0.202702703,0,,Content & Commerce
Dove,Other,CPG,Laggard,1.621621622,0.218579235,,Content & Commerce
Gatorade,Other,CPG,Laggard,0.472972973,0.765027322,,Content & Commerce
Gillette,Other,CPG,Laggard,1.554054054,1.31147541,,Content & Commerce
Honest,Other,CPG,Laggard,2.027027027,3.606557377,,Content & Commerce
Old Spice,Other,CPG,Laggard,0.337837838,0,,Content & Commerce
Pepsi,Other,CPG,Laggard,1.216216216,0.655737705,,Content & Commerce
Pillsbury,Other,CPG,Laggard,1.486486486,0,,Content & Commerce
Quaker,Other,CPG,Laggard,1.418918919,0,,Content & Commerce
Red Bull,Other,CPG,Laggard,1.351351351,0.218579235,,Content & Commerce
Rockstar Energy,Other,CPG,Laggard,0,0.163934426,,Content & Commerce
Simple,Other,CPG,Laggard,1.621621622,0.655737705,,Content & Commerce
Swiffer,Other,CPG,Laggard,1.081081081,1.530054645,,Content & Commerce
Tide,Other,CPG,Laggard,0.945945946,1.092896175,,Content & Commerce
Vaseline,Other,CPG,Laggard,0.608108108,0,,Content & Commerce
Cadillac,Other,Auto,Laggard,1.8024,3.862846841,,Mobile
Chevrolet,Other,Auto,Laggard,1.55885,2.676864087,,Mobile
Infiniti,Other,Auto,Laggard,1.3145,4.197136905,,Mobile
Lincoln,Other,Auto,Laggard,1.51125,3.8,,Mobile
Toyota,Other,Auto,Laggard,1.45725,4.586541541,,Mobile
Volkswagen,Other,Auto,Laggard,1.24435,4.189294643,,Mobile
Acer,Other,Consumer Electronics,Laggard,2.99675,4.654722098,,Mobile
Amazon,Other,Consumer Electronics,Other,5.756035768,3.724840471,,Mobile
Apple,Other,Consumer Electronics,Leader,6.153235314,5.85,,Mobile
GoPro,Other,Consumer Electronics,Other,4.05,7.210896325,,Mobile
Samsung,Other,Consumer Electronics,Leader,6.18625,6.526936384,,Mobile
Skullcandy,Other,Consumer Electronics,Laggard,2.7048,3.747147693,,Mobile
Sony,Other,Consumer Electronics,Laggard,2.95965,4.864073288,,Mobile
Ultimate Ears,Other,Consumer Electronics,Laggard,2.44755,2.376761531,,Mobile
Dove,Other,CPG,Laggard,3.9403,4.300684524,,Mobile
Pampers,Other,CPG,Other,2.6461109,6.901567841,,Mobile
Kroger,Other,Grocery,Laggard,3.178667649,4.875638338,,Mobile
Meijer,Other,Grocery,Laggard,4.464437774,3,,Mobile
ShopRite,Other,Grocery,Laggard,2.677372071,2.9,,Mobile
Whole Foods,Other,Grocery,Other,4.464640833,5.95,,Mobile
L.L.Bean,Activewear,Activewear,Other,3.905058905,2.905238095,,Data & Targeting
L'Oreal Paris,Beauty,Beauty,Other,4.54014454,5,,Data & Targeting
Lancome,Beauty,Beauty,Leader,4.054549055,7.926666667,,Data & Targeting
Louis Vuitton,Fashion,Fashion,Laggard,3.341253341,5.758571429,,Data & Targeting
Lowe's,Retail,Big Box,Other,3.694188694,8.257619048,,Data & Targeting
lululemon athletica,Activewear,Activewear,Leader,4.07979408,7.904761905,,Data & Targeting
Macy's,Retail,Department Stores,Leader,5.809325809,7.077619048,,Data & Targeting
Mandarin Oriental,Other,Hotels,Other,3.795168795,4.738095238,,Data & Targeting
Marc Jacobs,Fashion,Fashion,Laggard,3.335808336,3.561904762,,Data & Targeting
Neiman Marcus,Retail,Department Stores,Other,6,4.52,,Omnichannel
Sears,Retail,Department Stores,Other,6.84,4.05,,Omnichannel
Saks Fifth Avenue,Retail,Department Stores,Other,4.54,6.19,,Omnichannel
Barneys New York,Retail,Department Stores,Laggard,1.62,2.38,,Omnichannel
Nordstrom,Retail,Department Stores,Leader,6.05,5.24,,Omnichannel
Burberry,Fashion,Fashion,Laggard,3.41,3.33,,Omnichannel
Coach,Fashion,Fashion,Laggard,4.29,3.57,,Omnichannel
Gucci,Fashion,Fashion,Laggard,2.89,4.52,,Omnichannel
Hugo Boss,Fashion,Fashion,Laggard,2.16,3.81,,Omnichannel
Louis Vuitton,Fashion,Fashion,Laggard,3.19,4.52,,Omnichannel
Michael Kors,Fashion,Fashion,Laggard,1.35,3.57,,Omnichannel
Prada,Fashion,Fashion,Laggard,0.23,3.81,,Omnichannel
Salvatore Ferragamo,Fashion,Fashion,Laggard,1.75,3.57,,Omnichannel
Tory Burch,Fashion,Fashion,Laggard,2.01,3.81,,Omnichannel
Kate Spade,Specialty Retail,Specialty Retail,Other,4.08,5,,Omnichannel
Steve Madden,Specialty Retail,Specialty Retail,Other,2.99,5,,Omnichannel
Sur La Table,Specialty Retail,Specialty Retail,Other,4.13,5.24,,Omnichannel
ALDO,Specialty Retail,Specialty Retail,Laggard,2.15,2.86,,Omnichannel
Alex and Ani,Specialty Retail,Specialty Retail,Laggard,0.53,2.86,,Omnichannel
American Eagle Outfitters,Specialty Retail,Specialty Retail,Laggard,2.97,3.33,,Omnichannel
Ann Taylor,Specialty Retail,Specialty Retail,Laggard,3.13,2.38,,Omnichannel
IKEA,Retail,Big Box,Laggard,38.88888889,28.88888889,,Localization
Rimowa,Retail,Big Box,Laggard,21.11111111,2.222222222,,Localization
Amazon,Retail,Big Box,Other,60,47.33333333,,Localization
Net-a-Porter,Retail,Big Box,Laggard,25.55555556,42.96296296,,Localization
Rakuten,Retail,Big Box,Other,25.55555556,55,,Localization
Tmall,Retail,Big Box,Laggard,5.555555556,15.55555556,,Localization
Zalando,Retail,Big Box,Laggard,20,27.22222222,,Localization
Best Buy,Retail,Big Box,Other,1.891891892,4.262295082,,Content & Commerce
CVS,Retail,Big Box,Laggard,1.891891892,1.530054645,,Content & Commerce
Home Depot,Retail,Big Box,Leader,3.851351351,4.590163934,,Content & Commerce
Lowe's,Retail,Big Box,Other,2.702702703,3.661202186,,Content & Commerce
Staples,Retail,Big Box,Other,1.959459459,5.409836066,,Content & Commerce
Target,Retail,Big Box,Laggard,1.081081081,2.896174863,,Content & Commerce
Walgreens,Retail,Big Box,Laggard,2.162162162,3.387978142,,Content & Commerce
Walmart,Retail,Big Box,Other,2.094594595,4.043715847,,Content & Commerce
Barneys New York,Retail,Department Stores,Laggard,1.148648649,2.349726776,,Content & Commerce
